"forbrukergruppe";"år";"Forbruk i alt"
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2015";2112
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2016";2460
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2017";2365
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2018";2415
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2019";2368
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2020";2491
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2021";2594
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2022";2341
"DIVERSE FORSYNINGS- OG RENOVASJONSVIRKSOMHET";"2023";2859
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"1993";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"1994";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"1995";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"1996";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"1997";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"1998";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"1999";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2000";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2001";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2002";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2003";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2004";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2005";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2006";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2007";..
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2008";311
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2009";349
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2010";406
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2011";360
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2012";381
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2013";530
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2014";505
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2015";550
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2016";690
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2017";661
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2018";650
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2019";662
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2020";584
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2021";633
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2022";689
"Produksjon og distribusjon av elektrisitet og av gass gjennom ledningsnett";"2023";854
"Fjernvarme";"1993";194
"Fjernvarme";"1994";205
"Fjernvarme";"1995";209
"Fjernvarme";"1996";154
"Fjernvarme";"1997";234
"Fjernvarme";"1998";228
"Fjernvarme";"1999";244
"Fjernvarme";"2000";314
"Fjernvarme";"2001";169
"Fjernvarme";"2002";173
"Fjernvarme";"2003";87
"Fjernvarme";"2004";631
"Fjernvarme";"2005";665
"Fjernvarme";"2006";651
"Fjernvarme";"2007";748
"Fjernvarme";"2008";831
"Fjernvarme";"2009";1014
"Fjernvarme";"2010";952
"Fjernvarme";"2011";834
"Fjernvarme";"2012";1086
"Fjernvarme";"2013";1123
"Fjernvarme";"2014";1015
"Fjernvarme";"2015";1001
"Fjernvarme";"2016";1158
"Fjernvarme";"2017";1104
"Fjernvarme";"2018";1102
"Fjernvarme";"2019";1031
"Fjernvarme";"2020";1147
"Fjernvarme";"2021";1199
"Fjernvarme";"2022";913
"Fjernvarme";"2023";1247
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1993";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1994";..
"Vannforsyning, avløps- og renovasjonsvirksomhet";"1995";..
