Navn;Stasjon;Tid(norsk normaltid);Regional middeltemperatur, beregnet med normalperiode 1961-1990 (mnd);Regional middeltemperatur, beregnet med normalperiode 1991-2020 (mnd)
Region Norge;GR0;04.1932;-1,19;-1,54
Region Norge;GR0;05.1932;3,31;3,66
Region Norge;GR0;06.1932;6,84;7,84
Region Norge;GR0;07.1932;10,95;11,94
Region Norge;GR0;08.1932;10,22;10,3
Region Norge;GR0;09.1932;5,11;5,06
Region Norge;GR0;10.1932;-0,42;-0,75
Region Norge;GR0;11.1932;-2,33;-2,92
Region Norge;GR0;12.1932;-1,49;-2,4
Region Norge;GR0;01.1933;-3,44;-4,61
Region Norge;GR0;02.1933;-7,66;-8,52
Region Norge;GR0;03.1933;-4,14;-4,86
Region Norge;GR0;04.1933;-1,57;-1,92
Region Norge;GR0;05.1933;3,77;4,12
Region Norge;GR0;06.1933;10,88;11,89
Region Norge;GR0;07.1933;11,76;12,75
Region Norge;GR0;08.1933;10,44;10,51
Region Norge;GR0;09.1933;7,51;7,45
Region Norge;GR0;10.1933;1,82;1,48
Region Norge;GR0;11.1933;-3,9;-4,5
Region Norge;GR0;12.1933;-4,6;-5,53
Region Norge;GR0;01.1934;-1,9;-3,07
Region Norge;GR0;02.1934;-3,84;-4,68
Region Norge;GR0;03.1934;-3,65;-4,38
Region Norge;GR0;04.1934;-1,09;-1,45
Region Norge;GR0;05.1934;4,25;4,6
Region Norge;GR0;06.1934;7,66;8,66
Region Norge;GR0;07.1934;12,49;13,48
Region Norge;GR0;08.1934;11,81;11,88
Region Norge;GR0;09.1934;9,03;8,97
Region Norge;GR0;10.1934;2,5;2,16
Region Norge;GR0;11.1934;-2,2;-2,79
Region Norge;GR0;12.1934;-2,17;-3,09
Region Norge;GR0;01.1935;-5,59;-6,77
Region Norge;GR0;02.1935;-5,69;-6,54
Region Norge;GR0;03.1935;-4,86;-5,6
Region Norge;GR0;04.1935;-0,94;-1,3
Region Norge;GR0;05.1935;1,94;2,3
Region Norge;GR0;06.1935;7,6;8,6
Region Norge;GR0;07.1935;10,33;11,32
Region Norge;GR0;08.1935;10,8;10,87
Region Norge;GR0;09.1935;5,42;5,36
Region Norge;GR0;10.1935;1,47;1,14
Region Norge;GR0;11.1935;-0,1;-0,69
Region Norge;GR0;12.1935;-4,21;-5,13
