No.;Time;Comment;Scramble;Date;P.1
247;19.41;;B2 U' F2 D R2 D' R2 B2 L2 U' F2 R' B' D' B U' L' R' U L;2022-09-23 14:48:39;19.41
248;24.76;;R' F U2 F L2 F D2 L U D F2 R2 L2 D R2 U L2 F2 R2 D';2022-09-25 16:16:38;24.76
249;23.21;;L F' D B' U2 F2 R L2 F L2 F' U2 L2 B2 D2 F' D2 R2 B' U';2022-09-25 16:17:26;23.21
250;17.96;;B2 R F2 R F2 D2 B2 L' B2 L2 D2 F' U' F2 R' D F' D L D';2022-09-25 16:18:15;17.96
251;14.94;;L2 B2 U' B2 D F2 R2 D L2 U F' R' D2 U' L' B R2 F2 U2 L;2022-09-25 16:19:07;14.94
252;25.03;;F' R' D2 B2 U' R2 D' L2 F2 L2 B2 U F2 L U' B D L2 R' D U;2022-09-25 16:23:00;25.03
253;24.66+;;B2 D2 R2 D' R2 D' R2 U L2 D' R' F D' F2 D2 B L' D' R B2;2022-11-24 11:04:54;22.66
254;27.49;;F L2 D R2 U2 L' B' L2 D' R D2 L' U2 D2 L' D2 F2 B2 R F2 L';2022-11-24 11:06:11;27.49
255;27.82;;R' D2 R2 F' D' F L' B' R F L2 F2 R2 U2 F R2 B R2 L2;2022-11-24 11:07:23;27.82
256;15.92;;L D2 R2 D2 F2 L D2 F2 L B2 U2 B R2 D' F L U' F D2 U';2022-11-24 11:10:26;15.92
257;27.37;;L2 R2 F' D2 L2 F' R2 B' U2 B2 L2 U R B2 R' B L D2 F2 D;2022-11-24 11:24:48;27.37
258;21.21;;U' F' D' B2 R2 D F2 L2 U2 F2 D2 U' F' D R' F L2 R' F R2;2022-11-24 11:25:39;21.21
259;32.61;;R2 D2 U2 F L2 B' F' U2 F' D2 L2 F' D' B L' F U' B' R' D;2023-02-07 17:48:04;32.61
260;30.43;;D2 B D R2 D' L2 U L2 B2 F2 U B2 F2 D2 L' R2 F D2 B L' R';2023-02-07 17:49:00;30.43
261;24.30;;D L F' L2 R2 F' U2 F L2 D2 F U2 F' U' L' B2 U B F';2023-02-07 17:49:57;24.30
262;28.74;;D2 F2 D2 F L2 R2 F D2 F' D2 L F U' L2 U' L D B2 L U';2023-02-07 17:50:41;28.74
263;20.96;;D' U2 F U2 B L2 B' R2 F' L2 B D L2 D2 L R' U F' U2;2023-02-07 17:51:46;20.96
264;27.05;;R2 F2 R2 D' L2 B2 R2 D' R2 F2 R D2 F2 U B2 R F' D U B';2023-02-07 17:52:31;27.05
265;23.64;;L R2 B2 D U2 L2 R2 B2 D U2 F2 L2 F' L2 U2 F L D' L2;2023-02-07 17:53:27;23.64
266;29.88;;B L2 B R2 B2 R2 F2 U B2 D F2 L2 D' U' L B' U' R' F' L' U';2023-02-07 17:54:11;29.88
267;24.66;;F U F2 R2 B' R2 F' L2 F R2 B' L2 R2 D F2 R B2 D' B' L2;2023-02-07 17:54:59;24.66
268;DNF(24.98);;F2 L F2 D F2 U F2 U' B2 R2 U2 L2 D' R2 B' U B U' F' R2 U2;2023-02-07 17:55:43;24.98
269;22.10;;D2 B' R B D' B2 R U2 L D B2 U2 R2 U F2 R2 B2 R2 D L2 B2;2023-02-07 17:56:43;22.10
270;27.45;;R D2 B D2 L2 B R2 F' D2 L2 U2 F R2 L' D B U L2 U' L U';2023-02-07 17:57:25;27.45
271;33.02;;D L2 B2 R2 F2 U2 B' R2 F' D2 L2 B' U F' D' F L2 R' B' L;2023-02-07 17:58:14;33.02
272;30.97;;D2 B2 U2 L2 B D2 R2 B D2 U2 F2 R' U' F' R2 B U2 R2 F R;2023-02-07 17:59:04;30.97
273;30.77;;R2 B2 D2 L2 D' B2 D2 R2 B2 L2 D' B D' U' F L U' R' F D;2023-06-02 18:01:25;30.77
274;25.60;;B' R' F2 D2 L2 U R2 D' L2 U B2 D F2 U' F' R' B F2 L' F;2023-06-02 18:04:21;25.60

