_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
665d77c23f4cde2f9d18d284,,137.2,100,137.2,85.57,55;0;0;0,words,10,-1,0,4.81,0,0,false,false,english,none,normal,false,false,false,,1717401538000
665d77bc3f4cde2f9d18d25b,,119.8,95,138.23,66.34,52;2;0;0,words,10,-1,3,5.21,0,4.08,false,false,english,none,normal,false,false,false,,1717401532000
665d774d3f4cde2f9d18ce0c,,120.72,98.06,123.92,83.94,151;2;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1717401421000
665d745a3f4cde2f9d18b26b,,136.78,100,136.78,89.97,171;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1717400666000
665b44ac3f4cde2f9d086169,,118.4,98.06,122.4,77.74,148;0;0;1,time,15,-1,2,15,0,3.2,false,false,english,none,normal,false,false,false,,1717257388000
665b44963f4cde2f9d08608f,,133.59,100,133.59,89.19,167;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1717257366000
665b44843f4cde2f9d085fda,,120.79,99.34,120.79,77.25,151;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1717257348000
6659b9333f4cde2f9dfb985b,true,152.77,100,152.77,86.41,191;0;0;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1717156147000
6659b91e3f4cde2f9dfb9793,,95.94,93.28,103.94,65.45,120;5;0;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1717156126000
66584f173f4cde2f9dee7070,,126.78,100,126.78,55.6,54;0;0;0,words,10,-1,0,5.11,0,0,false,false,english,none,normal,false,false,false,,1717063447000
66584f103f4cde2f9dee7032,,112.5,96,112.5,44.5,48;0;0;0,words,10,-1,0,5.12,0,0,false,false,english,none,normal,false,false,false,,1717063440000
66584f0b3f4cde2f9dee7005,,142.08,100,142.08,69.23,52;0;0;0,words,10,-1,0,4.39,0,0,false,false,english,none,normal,false,false,false,,1717063435000
66584cb03f4cde2f9dee5a4c,,136.13,100,136.13,64.78,48;0;0;0,words,10,-1,1,4.23,0,0.24,false,false,english,none,normal,false,false,false,,1717062832000
66584ca93f4cde2f9dee5a09,,111.96,93.44,111.96,63.36,57;0;0;0,words,10,-1,0,6.11,0,0,false,false,english,none,normal,false,false,false,,1717062825000
66584ca13f4cde2f9dee59a1,,136.58,100,136.58,81.13,53;0;0;0,words,10,-1,0,4.66,0,0,false,false,english,none,normal,false,false,false,,1717062817000
66584c9b3f4cde2f9dee5965,,119.1,98.08,119.1,60.8,51;0;0;0,words,10,-1,0,5.14,0,0,false,false,english,none,normal,false,false,false,,1717062811000
66584c953f4cde2f9dee5930,,129.68,93.75,144.76,99.1,43;2;0;0,words,10,-1,0,3.98,0,0,false,false,english,none,normal,false,false,false,,1717062805000
66584c8f3f4cde2f9dee5903,,138.09,100,138.09,54.13,47;0;0;0,words,10,-1,0,4.08,0,0,false,false,english,none,normal,false,false,false,,1717062799000
66584c1e3f4cde2f9dee5492,,127.39,100,127.39,87.56,48;0;0;0,words,10,-1,1,4.52,0,0.55,false,false,english,none,normal,false,false,false,,1717062686000
66584c173f4cde2f9dee5443,,140.7,100,140.7,96.58,54;0;0;0,words,10,-1,0,4.61,0,0,false,false,english,none,normal,false,false,false,,1717062679000
66584c103f4cde2f9dee5401,,130.73,100,130.73,87.56,53;0;0;0,words,10,-1,0,4.87,0,0,false,false,english,none,normal,false,false,false,,1717062672000
66584c0a3f4cde2f9dee53b4,,126.58,100,126.58,76.55,52;0;0;0,words,10,-1,0,4.93,0,0,false,false,english,none,normal,false,false,false,,1717062666000
66584c043f4cde2f9dee5389,,132.98,100,132.98,54.51,45;0;0;0,words,10,-1,0,4.06,0,0,false,false,english,none,normal,false,false,false,,1717062660000
66584bff3f4cde2f9dee5357,,121.5,94.12,144.11,68.75,43;2;0;0,words,10,-1,0,4.25,0,0,false,false,english,none,normal,false,false,false,,1717062655000
66584bf93f4cde2f9dee5319,,118.06,98.25,118.06,74.54,56;0;0;0,words,10,-1,0,5.69,0,0,false,false,english,none,normal,false,false,false,,1717062649000
66584bf23f4cde2f9dee52d1,,131.27,100,131.27,92.16,61;0;0;0,words,10,-1,1,5.58,0,1.32,false,false,english,none,normal,false,false,false,,1717062642000
66583c743f4cde2f9dedc1e3,true,127.48,99.03,128.73,83.05,509;2;0;0,words,100,-1,0,47.91,0,0,false,false,english,none,normal,false,false,false,,1717058676000
66583c3d3f4cde2f9dedbffb,,130.54,100,130.54,59.49,55;0;0;0,words,10,-1,0,5.06,0,0,false,false,english,none,normal,false,false,false,,1717058621000
66583c303f4cde2f9dedbf89,,150.91,100,150.91,90.42,50;0;0;0,words,10,-1,1,3.98,0,2.64,false,false,english,none,normal,false,false,false,,1717058608000
6658324f3f4cde2f9ded66f2,,127.8,100,127.8,89.6,48;0;0;0,words,10,-1,0,4.51,0,0,false,false,english,none,normal,false,false,false,,1717056079000
665832383f4cde2f9ded662a,true,86.57,100,86.57,62.08,47;0;0;0,words,10,-1,0,6.52,0,0,false,false,swedish,none,normal,false,false,false,,1717056056000
6658322e3f4cde2f9ded65d5,true,102.87,100,102.87,84.14,48;0;0;0,words,10,-1,0,5.6,0,0,false,false,danish,none,normal,false,false,false,,1717056046000
665832213f4cde2f9ded654f,,102.51,96.36,102.51,67.79,53;0;0;0,words,10,-1,0,6.2,0,0,false,false,norwegian_nynorsk,none,normal,false,false,false,,1717056033000
665832193f4cde2f9ded6505,,100.71,95.83,100.71,68.55,46;0;0;0,words,10,-1,0,5.48,0,0,false,false,norwegian_nynorsk,none,normal,false,false,false,,1717056025000
665832113f4cde2f9ded64bd,true,116.63,100,116.63,75.37,52;0;0;0,words,10,-1,0,5.35,0,0,false,false,norwegian_nynorsk,none,normal,false,false,false,,1717056017000
665832033f4cde2f9ded6430,true,57.11,93.7,65.34,59.89,104;1;0;0,words,10,-1,0,21.85,0,0,false,false,norwegian_nynorsk_400k,none,normal,false,false,false,,1717056003000
