"kjønn";"alder";"år";"Personer"
"Kvinner";14;1991;26541
"Kvinner";14;1992;25347
"Kvinner";14;1993;25691
"Kvinner";14;1994;25743
"Kvinner";14;1995;25568
"Kvinner";14;1996;25773
"Kvinner";14;1997;25636
"Kvinner";14;1998;25063
"Kvinner";14;1999;25484
"Kvinner";14;2000;25897
"Kvinner";14;2001;26463
"Kvinner";14;2002;27524
"Kvinner";14;2003;28997
"Kvinner";14;2004;29933
"Kvinner";14;2005;30932
"Kvinner";14;2006;30927
"Kvinner";14;2007;30464
"Kvinner";14;2008;30578
"Kvinner";14;2009;30755
"Kvinner";14;2010;30983
"Kvinner";14;2011;31522
"Kvinner";14;2012;31080
"Kvinner";14;2013;30559
"Kvinner";14;2014;30945
"Kvinner";14;2015;31100
"Kvinner";14;2016;30138
"Kvinner";14;2017;29844
"Kvinner";14;2018;30441
"Kvinner";14;2019;30786
"Kvinner";14;2020;30853
"Kvinner";14;2021;31564
"Kvinner";14;2022;31490
"Kvinner";14;2023;32594
"Kvinner";14;2024;33426
"Kvinner";14;2025;33184
"Kvinner";15;1986;31685
"Kvinner";15;1987;32265
"Kvinner";15;1988;31676
"Kvinner";15;1989;30136
"Kvinner";15;1990;29851
"Kvinner";15;1991;27995
"Kvinner";15;1992;26587
"Kvinner";15;1993;25415
"Kvinner";15;1994;25783
"Kvinner";15;1995;25827
"Kvinner";15;1996;25592
"Kvinner";15;1997;25801
"Kvinner";15;1998;25671
"Kvinner";15;1999;25127
"Kvinner";15;2000;25623
"Kvinner";15;2001;25925
"Kvinner";15;2002;26517
"Kvinner";15;2003;27654
"Kvinner";15;2004;29081
"Kvinner";15;2005;30014
"Kvinner";15;2006;31045
"Kvinner";15;2007;31025
"Kvinner";15;2008;30605
"Kvinner";15;2009;30744
"Kvinner";15;2010;30915
"Kvinner";15;2011;31113
"Kvinner";15;2012;31682
"Kvinner";15;2013;31266
"Kvinner";15;2014;30727
"Kvinner";15;2015;31121
"Kvinner";15;2016;31319
"Kvinner";15;2017;30322
"Kvinner";15;2018;30028
"Kvinner";15;2019;30554
"Kvinner";15;2020;30887
"Kvinner";15;2021;30933
"Kvinner";15;2022;31695
"Kvinner";15;2023;31915
"Kvinner";15;2024;32923
"Kvinner";15;2025;33631
"Kvinner";16;1986;33171
"Kvinner";16;1987;31739
"Kvinner";16;1988;32308
"Kvinner";16;1989;31738
"Kvinner";16;1990;30166
"Kvinner";16;1991;29897
"Kvinner";16;1992;28048
"Kvinner";16;1993;26653
"Kvinner";16;1994;25552
"Kvinner";16;1995;25832
"Kvinner";16;1996;25904
"Kvinner";16;1997;25659
"Kvinner";16;1998;25883
"Kvinner";16;1999;25766
"Kvinner";16;2000;25276
"Kvinner";16;2001;25707
"Kvinner";16;2002;25993
"Kvinner";16;2003;26662
"Kvinner";16;2004;27760
"Kvinner";16;2005;29236
"Kvinner";16;2006;30139
"Kvinner";16;2007;31182
"Kvinner";16;2008;31173
"Kvinner";16;2009;30781
"Kvinner";16;2010;30945
"Kvinner";16;2011;31100
"Kvinner";16;2012;31335
"Kvinner";16;2013;31921
"Kvinner";16;2014;31498
"Kvinner";16;2015;30975
"Kvinner";16;2016;31399
"Kvinner";16;2017;31573
"Kvinner";16;2018;30523
"Kvinner";16;2019;30214
"Kvinner";16;2020;30722
"Kvinner";16;2021;30962
"Kvinner";16;2022;31083
"Kvinner";16;2023;32102
"Kvinner";16;2024;32266
"Kvinner";16;2025;33175
"Kvinner";17;1986;32960
"Kvinner";17;1987;33290
"Kvinner";17;1988;31874
"Kvinner";17;1989;32424
"Kvinner";17;1990;31819
"Kvinner";17;1991;30281
"Kvinner";17;1992;30018
"Kvinner";17;1993;28155
"Kvinner";17;1994;26840
"Kvinner";17;1995;25711
"Kvinner";17;1996;25957
"Kvinner";17;1997;26061
"Kvinner";17;1998;25792
"Kvinner";17;1999;26051
"Kvinner";17;2000;25957
"Kvinner";17;2001;25421
"Kvinner";17;2002;25851
"Kvinner";17;2003;26196
"Kvinner";17;2004;26797
"Kvinner";17;2005;27887
"Kvinner";17;2006;29348
"Kvinner";17;2007;30314
"Kvinner";17;2008;31378
"Kvinner";17;2009;31355
"Kvinner";17;2010;30933
"Kvinner";17;2011;31150
"Kvinner";17;2012;31264
"Kvinner";17;2013;31576
"Kvinner";17;2014;32160
"Kvinner";17;2015;31705
"Kvinner";17;2016;31233
"Kvinner";17;2017;31614
"Kvinner";17;2018;31772
"Kvinner";17;2019;30672
"Kvinner";17;2020;30367
"Kvinner";17;2021;30826
"Kvinner";17;2022;31076
"Kvinner";17;2023;31505
"Kvinner";17;2024;32460
"Kvinner";17;2025;32517
"Kvinner";18;1986;32582
"Kvinner";18;1987;33125
"Kvinner";18;1988;33441
"Kvinner";18;1989;32032
"Kvinner";18;1990;32391
"Kvinner";18;1991;31883
"Kvinner";18;1992;30436
"Kvinner";18;1993;30134
"Kvinner";18;1994;28372
"Kvinner";18;1995;26953
"Kvinner";18;1996;25846
"Kvinner";18;1997;26099
"Kvinner";18;1998;26152
"Kvinner";18;1999;25957
"Kvinner";18;2000;26211
"Kvinner";18;2001;26128
"Kvinner";18;2002;25577
"Kvinner";18;2003;26041
"Kvinner";18;2004;26377
"Kvinner";18;2005;26928
"Kvinner";18;2006;28031
"Kvinner";18;2007;29513
"Kvinner";18;2008;30457
"Kvinner";18;2009;31579
"Kvinner";18;2010;31562
"Kvinner";18;2011;31155
"Kvinner";18;2012;31359
"Kvinner";18;2013;31499
"Kvinner";18;2014;31802
"Kvinner";18;2015;32391
"Kvinner";18;2016;31933
"Kvinner";18;2017;31480
"Kvinner";18;2018;31840
"Kvinner";18;2019;31982
"Kvinner";18;2020;30861
"Kvinner";18;2021;30518
"Kvinner";18;2022;31014
"Kvinner";18;2023;31573
"Kvinner";18;2024;31910
"Kvinner";18;2025;32803
"Kvinner";19;1986;32566
"Kvinner";19;1987;32736
"Kvinner";19;1988;33314
"Kvinner";19;1989;33563
"Kvinner";19;1990;31853
"Kvinner";19;1991;32401
"Kvinner";19;1992;31923
"Kvinner";19;1993;30478
"Kvinner";19;1994;30223
"Kvinner";19;1995;28405
"Kvinner";19;1996;27024
"Kvinner";19;1997;25927
"Kvinner";19;1998;26299
"Kvinner";19;1999;26552
"Kvinner";19;2000;26407
"Kvinner";19;2001;26502
"Kvinner";19;2002;26385
"Kvinner";19;2003;25937
"Kvinner";19;2004;26309
"Kvinner";19;2005;26623
"Kvinner";19;2006;27178
"Kvinner";19;2007;28321
"Kvinner";19;2008;29821
"Kvinner";19;2009;30794
"Kvinner";19;2010;31929
"Kvinner";19;2011;31982
"Kvinner";19;2012;31522
"Kvinner";19;2013;31769
"Kvinner";19;2014;31790
"Kvinner";19;2015;32086
"Kvinner";19;2016;32579
"Kvinner";19;2017;32071
"Kvinner";19;2018;31621
"Kvinner";19;2019;31912
"Kvinner";19;2020;32067
"Kvinner";19;2021;30933
"Kvinner";19;2022;30634
"Kvinner";19;2023;31441
"Kvinner";19;2024;31947
"Kvinner";19;2025;32161
"Kvinner";20;1986;32123
"Kvinner";20;1987;32712
"Kvinner";20;1988;32872
"Kvinner";20;1989;33436
"Kvinner";20;1990;33373
"Kvinner";20;1991;31886
"Kvinner";20;1992;32531
"Kvinner";20;1993;32084
"Kvinner";20;1994;30660
"Kvinner";20;1995;30397
"Kvinner";20;1996;28581
"Kvinner";20;1997;27151
"Kvinner";20;1998;26124
"Kvinner";20;1999;26572
"Kvinner";20;2000;26731
"Kvinner";20;2001;26484
"Kvinner";20;2002;26612
"Kvinner";20;2003;26617
"Kvinner";20;2004;26098
"Kvinner";20;2005;26516
"Kvinner";20;2006;26852
"Kvinner";20;2007;27371
"Kvinner";20;2008;28630
"Kvinner";20;2009;30176
"Kvinner";20;2010;31166
"Kvinner";20;2011;32490
"Kvinner";20;2012;32401
"Kvinner";20;2013;32002
"Kvinner";20;2014;32026
"Kvinner";20;2015;32186
"Kvinner";20;2016;32302
"Kvinner";20;2017;32828
"Kvinner";20;2018;32253
"Kvinner";20;2019;31815
"Kvinner";20;2020;32019
"Kvinner";20;2021;32088
"Kvinner";20;2022;31080
"Kvinner";20;2023;31111
"Kvinner";20;2024;31883
"Kvinner";20;2025;32283
"Kvinner";21;1986;31753
"Kvinner";21;1987;32227
"Kvinner";21;1988;32794
"Kvinner";21;1989;32963
"Kvinner";21;1990;33189
"Kvinner";21;1991;33397
"Kvinner";21;1992;32047
"Kvinner";21;1993;32666
"Kvinner";21;1994;32227
"Kvinner";21;1995;30746
"Kvinner";21;1996;30474
"Kvinner";21;1997;28682
"Kvinner";21;1998;27261
"Kvinner";21;1999;26404
"Kvinner";21;2000;26788
"Kvinner";21;2001;26852
"Kvinner";21;2002;26637
"Kvinner";21;2003;26859
"Kvinner";21;2004;26840
"Kvinner";21;2005;26252
"Kvinner";21;2006;26716
"Kvinner";21;2007;27055
"Kvinner";21;2008;27757
"Kvinner";21;2009;29104
"Kvinner";21;2010;30711
"Kvinner";21;2011;31847
"Kvinner";21;2012;33083
"Kvinner";21;2013;32905
"Kvinner";21;2014;32448
"Kvinner";21;2015;32539
"Kvinner";21;2016;32534
"Kvinner";21;2017;32593
"Kvinner";21;2018;33054
"Kvinner";21;2019;32531
"Kvinner";21;2020;32005
"Kvinner";21;2021;32081
"Kvinner";21;2022;32302
"Kvinner";21;2023;31588
"Kvinner";21;2024;31568
"Kvinner";21;2025;32207
"Kvinner";22;1986;31117
"Kvinner";22;1987;31867
"Kvinner";22;1988;32399
"Kvinner";22;1989;32916
"Kvinner";22;1990;32863
"Kvinner";22;1991;33265
"Kvinner";22;1992;33539
"Kvinner";22;1993;32184
"Kvinner";22;1994;32888
"Kvinner";22;1995;32399
"Kvinner";22;1996;30807
"Kvinner";22;1997;30577
"Kvinner";22;1998;28847
"Kvinner";22;1999;27514
"Kvinner";22;2000;26587
"Kvinner";22;2001;26962
"Kvinner";22;2002;27038
"Kvinner";22;2003;26970
"Kvinner";22;2004;27091
"Kvinner";22;2005;27098
"Kvinner";22;2006;26555
"Kvinner";22;2007;27034
"Kvinner";22;2008;27533
"Kvinner";22;2009;28348
"Kvinner";22;2010;29765
"Kvinner";22;2011;31526
"Kvinner";22;2012;32603
"Kvinner";22;2013;33787
"Kvinner";22;2014;33535
"Kvinner";22;2015;33004
"Kvinner";22;2016;32869
"Kvinner";22;2017;32912
"Kvinner";22;2018;32920
"Kvinner";22;2019;33458
"Kvinner";22;2020;32688
"Kvinner";22;2021;32099
"Kvinner";22;2022;32366
"Kvinner";22;2023;32878
"Kvinner";22;2024;32108
"Kvinner";22;2025;31890
"Kvinner";23;1986;30245
"Kvinner";23;1987;31251
"Kvinner";23;1988;32089
"Kvinner";23;1989;32517
"Kvinner";23;1990;32833
"Kvinner";23;1991;32876
